agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPARTMENT OF TRANSPORTATION,Program Coordinator,62868,97593,2025-07-18T00:00:00.000000,2025-08-17T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DISTRICT ATTORNEY-MANHATTAN,Community Outreach Coordinator,59410,63582,2025-06-13T00:00:00.000000,2025-07-13T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Health Educator, Bureau of Tuberculosis Control",53074,61035,2025-05-09T00:00:00.000000,2026-04-29T00:00:00.000000,355,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Radiation Field Scientist, Bureau of Environmental Sciences and Engineering",78740,78740,2025-07-23T00:00:00.000000,2026-07-23T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,ELIGIBILITY SPECIALIST,40062,46071,2023-11-06T00:00:00.000000,2023-12-06T00:00:00.000000,30,49107.00,per Annum,47363.38,5216.56,4402.48,56982.42,100.0
DEPT OF ENVIRONMENT PROTECTION,Project Manager,81571,119554,2024-04-29T00:00:00.000000,2024-05-29T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HOUSING PRESERVATION & DVLPMNT,Field Tech - Emergency Operations Division (EOD) Emergency Repair Program (ERP),73878,73878,2024-09-19T00:00:00.000000,2024-10-19T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,"Sr. Fiscal Analyst, Center for Population Health Data Science Administration",75370,95051,2025-06-25T00:00:00.000000,2025-08-24T00:00:00.000000,60,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Navigator, Abortion Access Hub, Bureau of Maternal Infant and Reproductive Health",43143,50000,2024-09-25T00:00:00.000000,2025-09-25T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,BEC Policy Analyst,70022,94521,2024-09-26T00:00:00.000000,2024-10-26T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2025-03-18T00:00:00.000000,2025-04-17T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,Grants Associate,84981,106654,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Strategic Content Editor, Bureau of Communications",72190,72190,2025-05-07T00:00:00.000000,2026-05-07T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF PARKS & RECREATION,Natural Resources Protection Coordinator,34.4105,34.4105,2025-08-08T00:00:00.000000,2025-09-07T00:00:00.000000,30,65.29,per Hour,109701.07,1913.26,13055.24,124669.57,89.65517241379311
DEPT OF HEALTH/MENTAL HYGIENE,"Partnership & Collaboration Specialist, Bureau of Tuberculosis Control",72190,72190,2025-05-02T00:00:00.000000,2026-05-02T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,"Domestic Violence Bureau - Trial Preparation Assistant, Level II",53045,53045,2025-06-27T00:00:00.000000,2025-07-27T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,62370,93587,2023-12-19T00:00:00.000000,2024-01-18T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2025-04-30T00:00:00.000000,2026-04-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,UNIT CLERK,42288,48631,2025-06-24T00:00:00.000000,2025-07-24T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DISTRICT ATTORNEY-MANHATTAN,Bureau Secretary,52935,52935,2025-07-08T00:00:00.000000,2025-08-07T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPARTMENT OF TRANSPORTATION,BOB-Civil Engineering Intern,56181,68034,2024-06-05T00:00:00.000000,2024-07-05T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Reporting Analyst, Finance Administration and Planning",95070,112000,2025-03-25T00:00:00.000000,2026-03-25T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,SUPERVISING ATTORNEY,90870,104500,2024-05-16T00:00:00.000000,2024-06-15T00:00:00.000000,30,82137.00,per Annum,3797.07,0.00,192.62,3989.69,91.13924050632912
DEPARTMENT OF TRANSPORTATION,"Director of Budget, Grants, and Personnel",95051,127802,2025-07-29T00:00:00.000000,2025-08-28T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
BRONX DISTRICT ATTORNEY,Assistant District Attorney- Community Justice Bureau,97000,178000,2025-03-27T00:00:00.000000,2026-03-27T00:00:00.000000,365,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,UNIT CLERK,39763,45728,2023-09-13T00:00:00.000000,2023-10-13T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPARTMENT OF TRANSPORTATION,Deputy Director Resource Management,77158,114887,2024-08-23T00:00:00.000000,2024-09-22T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,56313,64760,2024-05-10T00:00:00.000000,2024-06-09T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT FOR THE AGING,Program Officer,63980,73577,2025-07-31T00:00:00.000000,2026-01-27T00:00:00.000000,180,202221.00,per Annum,206686.37,0.00,3000.00,209686.37,85.71428571428571
DEPT OF HEALTH/MENTAL HYGIENE,Assistant Agency Chief Contracting Officer of Compliance,66067,135000,2025-03-11T00:00:00.000000,2026-03-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,SENIOR PROJECT MANAGER,92194,119610,2021-09-17T00:00:00.000000,2021-10-17T00:00:00.000000,30,98303.00,per Annum,94883.02,0.00,4130.77,99013.79000000001,92.47311827956989
HUMAN RIGHTS COMMISSION,Adjudications Counsel,80387,92446,2025-01-22T00:00:00.000000,2025-02-21T00:00:00.000000,30,197991.00,per Annum,165841.16,0.00,3000.00,168841.16,85.18518518518519
CONFLICTS OF INTEREST BOARD,Assistant Counsel,85000,100000,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,260006.00,per Annum,271093.38,0.00,3750.00,274843.38,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Analyst, Bureau of Budget Administration",52561,75000,2025-02-20T00:00:00.000000,2026-02-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Special Officer / Peace Officer,39206,56508,2025-06-16T00:00:00.000000,2025-12-15T00:00:00.000000,182,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
